wilayah,penduduk
KAB. BOGOR,6088233
KAB. SUKABUMI,2470219
KAB. CIANJUR,2264328
KAB. BANDUNG,3831505
KAB. GARUT,2636637
KAB. TASIKMALAYA,1755710
KAB. CIAMIS,1201685
KAB. KUNINGAN,1087105
KAB. CIREBON,2209633
KAB. MAJALENGKA,1210709
KAB. SUMEDANG,1154428
KAB. INDRAMAYU,1737624
KAB. SUBANG,1612576
KAB. PURWAKARTA,971889
KAB. KARAWANG,2370488
KAB. BEKASI,3899017
KAB. BANDUNG BARAT,1714982
KAB. PANGANDARAN,401493
KOTA BOGOR,1126927
KOTA SUKABUMI,330691
KOTA BANDUNG,2510103
KOTA CIREBON,322322
KOTA BEKASI,3075690
KOTA DEPOK,2484186
KOTA CIMAHI,620393
KOTA TASIKMALAYA,663986
KOTA BANJAR,183299
